chr	start	end	length	sequence	chip.sample001.tsv	chip.sample002.tsv	chip.sample003.tsv	chip.sample004.tsv	chip.sample005.tsv	chip.sample006.tsv	chip.sample007.tsv	chip.sample008.tsv	chip.sample009.tsv	chip.sample010.tsv
ENSG00000226362	Y	18390993	18405046	14053	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226363	2	176177716	176179008	1292	NA	0	1	0	1	1	0	0	0	5	2
ENSG00000226364	17	52862120	52899588	37468	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226366	2	51926881	51927362	481	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226367	7	117072071	117146480	74409	NA	0	0	0	1	0	0	0	0	1	0
ENSG00000226369	Y	23934952	23940101	5149	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226370	13	85065086	85078920	13834	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226372	X	27977992	27981355	3363	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	1	3944546	3948980	4434	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226375	1	173174299	173175503	1204	NA	0	0	0	1	0	0	0	0	0	1
ENSG00000226376	9	7930826	7935137	4311	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226377	17	32876758	32878637	1879	NA	0	0	2	1	2	0	0	1	0	8
ENSG00000226380	7	130876808	130913310	36502	NA	4	1	2	13	13	9	6	15	20	34
ENSG00000226383	2	156011616	156024613	12997	NA	0	2	0	0	0	2	1	0	11	39
ENSG00000226386	10	34815766	34816386	620	NA	0	1	0	1	0	0	2	0	3	6
ENSG00000226387	10	104664607	104666200	1593	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226388	X	146553727	146555765	2038	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226389	10	49771840	49773299	1459	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226390	20	63448050	63449329	1279	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226392	7	67627830	67628019	189	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226393	9	21321299	21321827	528	NA	1	0	0	4	3	4	3	0	2	3
ENSG00000226394	1	89661211	89661353	142	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226395	10	28004701	28004932	231	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226396	1	19608113	19608568	455	NA	0	0	0	8	7	4	4	2	7	9
ENSG00000226397	12	24993423	24997519	4096	NA	0	0	0	0	13	4	24	27	0	0
ENSG00000226398	2	42015624	42025302	9678	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226400	5	28927028	28927284	256	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226401	7	63632607	63636617	4010	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226403	9	547316	549531	2215	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226405	20	21488243	21488625	382	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226406	21	14829153	14829989	836	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226407	10	33864312	33864723	411	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226409	6	125370210	125374324	4114	NA	0	0	0	0	0	0	0	0	0	2
ENSG00000226410	2	186162948	186163245	297	NA	0	0	0	0	0	1	1	0	1	0
ENSG00000226411	7	63699389	63700441	1052	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226412	10	33578930	33600040	21110	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226413	12	48442029	48442947	918	NA	3	0	1	0	1	0	2	0	4	4
ENSG00000226414	X	126729103	126730226	1123	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226415	1	76699788	76700538	750	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226416	11	1983236	1989920	6684	NA	3	0	7	3	2	6	0	2	74	59
ENSG00000226419	1	112956414	113047055	90641	NA	10	5	10	44	48	29	42	33	41	50
ENSG00000226420	22	22858024	22858268	244	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226421	7	32471512	32472409	897	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226423	2	242025182	242026176	994	NA	0	0	0	0	2	9	6	5	0	0
ENSG00000226425	10	93059662	93060426	764	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226426	10	64036344	64037280	936	NA	0	0	0	0	0	0	0	1	0	0
ENSG00000226427	3	15375372	15375645	273	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226428	10	114900721	114901366	645	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226429	9	62395369	62395678	309	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226430	8	12132416	12134444	2028	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226431	10	103549074	103550964	1890	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226432	5	24170369	24171246	877	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226433	21	33156631	33159110	2479	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226434	X	13377187	13403019	25832	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226435	3	198053521	198080720	27199	NA	0	0	0	2	4	3	7	1	1	1
ENSG00000226436	X	28659064	28659469	405	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226438	1	39249837	39257649	7812	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226439	4	61775448	61775850	402	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226440	6	112236092	112307009	70917	NA	2	2	3	0	0	1	3	0	16	8
ENSG00000226441	3	17042741	17044192	1451	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226442	2	234109080	234109481	401	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226443	1	119533748	119534746	998	NA	2	1	0	0	0	0	0	0	5	1
ENSG00000226444	22	11124336	11125705	1369	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226445	6	169213253	169239565	26312	NA	0	2	3	0	0	4	4	4	5	7
ENSG00000226446	1	119886303	119886927	624	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226447	10	37976824	37992467	15643	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226448	10	67334122	67334882	760	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226449	Y	17721597	17723177	1580	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226450	22	42149885	42155001	5116	NA	1	3	4	4	10	8	10	5	9	20
ENSG00000226453	6	81845184	81933480	88296	NA	0	1	1	1	1	0	0	0	11	7
ENSG00000226454	6	40516335	40523933	7598	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226455	6	89950115	89953186	3071	NA	0	0	0	0	3	1	2	0	0	1
ENSG00000226457	1	16369149	16369530	381	NA	0	0	0	0	0	1	0	0	1	0
ENSG00000226461	11	124009654	124010012	358	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226465	20	25751217	25752761	1544	NA	1	0	0	0	0	0	1	0	7	1
ENSG00000226466	10	81136539	81137335	796	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226468	7	32456962	32457758	796	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226469	12	111927017	111929017	2000	NA	6	2	9	2	2	2	4	1	34	8
ENSG00000226470	9	17096300	17096446	146	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226471	22	28800682	28848559	47877	NA	0	3	1	8	8	9	6	7	16	18
ENSG00000226472	12	30978307	31006010	27703	NA	0	0	1	0	1	2	0	1	6	9
ENSG00000226473	2	47939737	47940218	481	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226474	22	15615401	15615578	177	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226476	1	60515715	60640491	124776	NA	0	0	2	0	0	0	0	0	2	1
ENSG00000226477	22	22814670	22814926	256	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226478	17	16745635	16746761	1126	NA	0	0	0	0	0	0	0	1	1	0
ENSG00000226479	2	120221277	120223408	2131	NA	69	87	130	73	80	107	102	119	284	282
ENSG00000226480	19	9278447	9279369	922	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226481	2	91940667	91942040	1373	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226482	3	186851885	186856123	4238	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226483	1	108508573	108509243	670	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226484	X	36365625	36440292	74667	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226485	7	56490681	56491635	954	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226486	1	188905687	189037262	131575	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226487	1	20412303	20413253	950	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226488	2	6496002	6503806	7804	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226489	3	35871865	35872198	333	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226490	8	141514637	141518737	4100	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226491	2	42797224	42798712	1488	NA	3	1	2	7	3	10	4	5	19	15
ENSG00000226493	10	68499531	68499968	437	NA	0	1	0	1	1	1	0	1	3	1
ENSG00000226496	21	41141492	41148133	6641	NA	0	0	1	5	2	4	3	0	4	3
ENSG00000226497	6	68226971	68329899	102928	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226498	1	236819633	236820518	885	NA	0	0	0	0	0	0	0	1	0	0
ENSG00000226499	1	44843920	44844082	162	NA	0	0	0	1	0	1	0	0	1	1
ENSG00000226500	1	149754300	149754710	410	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226501	21	33334570	33335096	526	NA	0	0	0	0	1	0	0	0	0	0
ENSG00000226502	X	64623116	64624573	1457	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226504	Y	20907343	20907562	219	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226506	2	7886769	7899655	12886	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226507	13	22837025	22837880	855	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226508	2	105144112	105145424	1312	NA	1	0	0	1	3	4	0	0	0	1
ENSG00000226509	7	153968664	153968826	162	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226510	19	35667947	35673291	5344	NA	1	0	0	0	0	0	0	0	1	0
ENSG00000226515	X	74342712	74342860	148	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226516	2	113577381	113578852	1471	NA	0	0	0	0	0	0	0	0	4	0
ENSG00000226519	13	44106377	44137236	30859	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226520	1	158025549	158031166	5617	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226521	17	20716480	20737127	20647	NA	0	0	0	2	2	3	2	5	0	0
ENSG00000226522	7	18892095	18899433	7338	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226523	2	42680087	42680279	192	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226525	13	21628412	21629015	603	NA	0	0	0	0	1	0	0	0	0	0
ENSG00000226526	1	16978925	17005091	26166	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226527	21	33111698	33123703	12005	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226529	Y	8371662	8372030	368	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226530	X	51396510	51465661	69151	NA	1	2	4	3	3	5	5	2	7	3
ENSG00000226532	X	124326174	124326258	84	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226533	6	38481691	38482531	840	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226534	22	21370063	21371945	1882	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226535	9	107169568	107171148	1580	NA	1	0	0	3	1	1	0	1	0	0
ENSG00000226536	X	15917547	15918631	1084	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226537	13	67910985	67911951	966	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226539	2	223704620	223705338	718	NA	1	0	0	0	1	0	1	2	0	0
ENSG00000226540	6	135619164	135620171	1007	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226541	6	46438309	46438619	310	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226542	2	235084821	235088586	3765	NA	0	0	0	0	0	0	0	0	1	1
ENSG00000226543	21	43855889	43856342	453	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226544	5	72725418	72726151	733	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226545	1	8798474	8799506	1032	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226547	X	114390673	114391256	583	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226548	2	46852019	46853496	1477	NA	0	0	0	0	0	0	2	0	0	1
ENSG00000226549	17	20784644	20785725	1081	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226552	1	171083564	171085205	1641	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226553	2	187001875	187003377	1502	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226554	13	70923663	70924455	792	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226555	Y	14639095	14640358	1263	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226556	X	47438735	47439774	1039	NA	0	0	0	0	0	0	1	0	1	1
ENSG00000226557	10	59136624	59138182	1558	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226558	6	43364219	43364294	75	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226562	9	33580694	33605293	24599	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226564	2	180872866	180873414	548	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226565	1	207150204	207150281	77	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226566	9	103361951	103429892	67941	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226567	3	10759483	10764192	4709	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226570	1	182955389	182956148	759	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226571	6	139271361	139287307	15946	NA	0	0	0	3	20	6	5	12	0	1
ENSG00000226572	20	2656938	2657010	72	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226573	22	30105093	30105408	315	NA	0	0	0	0	0	0	0	0	0	2
ENSG00000226576	10	48984563	49018897	34334	NA	0	0	0	0	0	0	1	0	2	0
ENSG00000226577	6	30414714	30419319	4605	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226578	10	37775370	37784131	8761	NA	0	1	1	0	0	3	0	1	7	4
ENSG00000226579	X	70120352	70121474	1122	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226580	21	17500678	17500824	146	NA	0	0	0	0	0	0	0	0	1	3
ENSG00000226581	7	63900822	63917994	17172	NA	0	0	1	0	1	5	1	1	4	9
ENSG00000226582	10	114117146	114117551	405	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226587	7	63326673	63354326	27653	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226590	9	85159681	85159950	269	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226592	7	145269513	145270384	871	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226594	6	47729826	47740741	10915	NA	0	0	0	0	0	0	0	0	3	0
ENSG00000226595	22	22465658	22465986	328	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226597	9	21190653	21191244	591	NA	0	0	0	0	0	0	0	1	0	0
ENSG00000226598	7	17463444	17558909	95465	NA	0	3	8	0	0	0	0	0	7	36
ENSG00000226599	6	150650771	150652025	1254	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226600	X	120943560	120946883	3323	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226601	1	223181143	223188154	7011	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226604	9	116285828	116288769	2941	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226605	2	62826063	62858438	32375	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226608	20	4023916	4024444	528	NA	0	1	1	0	0	0	0	0	0	1
ENSG00000226609	9	112748901	112750456	1555	NA	0	0	0	0	2	0	2	5	4	2
ENSG00000226611	Y	18080680	18096202	15522	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226616	11	4514965	4515924	959	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226617	13	72703692	72704138	446	NA	0	0	0	1	0	1	0	0	0	0
ENSG00000226619	13	19027836	19028701	865	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226620	13	105704279	105764440	60161	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226621	3	11290405	11290663	258	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226622	2	62590254	62662654	72400	NA	1	0	0	0	0	0	0	0	0	0
ENSG00000226624	7	105819491	105820101	610	NA	0	1	0	0	0	1	0	2	0	0
ENSG00000226625	9	39154074	39155479	1405	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226626	9	23681893	23682662	769	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226627	11	70631093	70635490	4397	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226629	17	41549605	41554495	4890	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226631	10	50025134	50027363	2229	NA	0	0	1	0	0	0	0	0	0	0
ENSG00000226632	20	3361879	3362324	445	NA	0	0	0	0	0	1	0	1	0	0
ENSG00000226633	13	20178977	20179462	485	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226636	7	122159299	122162243	2944	NA	0	0	0	0	1	0	0	0	0	0
ENSG00000226640	1	193678893	193727035	48142	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226641	X	41322600	41323111	511	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226642	3	12070194	12071360	1166	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226643	1	222452737	222454705	1968	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226644	20	2207216	2213151	5935	NA	0	0	0	0	0	0	0	0	10	7
ENSG00000226645	11	116773388	116774205	817	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226646	10	35697299	35698037	738	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226647	10	5712173	5744067	31894	NA	0	0	0	0	0	1	4	1	1	0
ENSG00000226648	20	41098328	41138003	39675	NA	3	1	2	3	6	1	3	6	11	10
ENSG00000226649	2	3156755	3157797	1042	NA	0	0	0	0	0	0	2	0	0	0
ENSG00000226650	5	155013754	155018132	4378	NA	0	0	0	0	0	0	0	1	0	0
ENSG00000226652	3	186760692	186762050	1358	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226653	1	147419049	147419883	834	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226655	4	123744922	123745673	751	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226658	2	201066690	201067191	501	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226659	10	80529596	80535942	6346	NA	0	0	0	2	2	2	4	2	1	6
ENSG00000226660	7	142300923	142301432	509	NA	0	1	1	14	39	13	21	14	8	3
ENSG00000226661	X	119356300	119393595	37295	NA	0	0	0	0	0	0	0	1	0	1
ENSG00000226662	1	27686809	27687471	662	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226663	1	235540052	235541415	1363	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226664	1	20294210	20323187	28977	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226665	13	75136153	75136940	787	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226666	2	221961736	221963765	2029	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226668	9	92882566	92899608	17042	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226669	9	3684075	3689626	5551	NA	2	1	0	1	2	1	0	0	5	0
ENSG00000226670	13	79166118	79166885	767	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000226671	7	81191397	81192009	612	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226673	6	14280126	14285454	5328	NA	8	0	2	0	1	0	0	0	41	12
ENSG00000226674	2	144667966	145262988	595022	NA	2	0	3	10	2	7	15	2	12	9
ENSG00000226676	10	79628756	79632188	3432	NA	0	0	0	0	0	0	1	0	2	0
ENSG00000226677	14	34939323	34940332	1009	NA	0	1	0	0	0	3	0	0	5	0
ENSG00000226679	X	38221390	38223667	2277	NA	0	0	0	0	0	0	0	0	0	2
ENSG00000226680	7	123069248	123103589	34341	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226681	2	181422153	181425749	3596	NA	0	0	0	1	0	0	0	0	0	0
ENSG00000226683	13	80654754	80657027	2273	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226685	X	120930249	120932301	2052	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226686	19	37251911	37265535	13624	NA	2	1	0	0	2	7	1	2	8	2
ENSG00000226688	10	95753205	96090238	337033	NA	15	18	45	35	56	76	75	51	146	146
ENSG00000226690	7	12496428	12541910	45482	NA	0	1	1	0	0	0	0	0	21	36
ENSG00000226693	1	218881599	218882650	1051	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226694	10	2071844	2081097	9253	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226695	13	24750656	24752171	1515	NA	2	0	0	0	0	0	1	1	0	1
ENSG00000226696	19	54444812	54449045	4233	NA	11	7	5	11	38	29	27	15	73	79
ENSG00000226698	1	26876132	26878245	2113	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226699	10	133345753	133350726	4973	NA	0	0	0	0	2	2	2	0	3	4
ENSG00000226700	2	82814983	82815516	533	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226701	10	72189940	72190576	636	NA	0	0	0	0	0	0	0	1	0	0
ENSG00000226702	2	55963190	56047326	84136	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226703	13	27696392	27697204	812	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226705	10	6293099	6294684	1585	NA	0	0	0	0	0	0	0	0	2	0
ENSG00000226706	9	135503272	135506447	3175	NA	0	3	0	0	1	1	1	0	1	0
ENSG00000226707	6	49823711	49824782	1071	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226708	2	123443265	123444445	1180	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226709	3	192516830	192521398	4568	NA	0	0	0	0	0	0	1	0	0	0
ENSG00000226711	12	8180208	8216151	35943	NA	11	10	7	13	17	22	11	8	69	55
ENSG00000226715	1	101639547	101787572	148025	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226716	1	152122533	152125065	2532	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226717	9	10613201	10620420	7219	NA	0	0	0	0	0	0	0	0	2	0
ENSG00000226718	2	227778509	227778735	226	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226721	9	92836825	92837668	843	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226722	13	21872769	21878160	5391	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226723	1	192246707	192247487	780	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226724	3	186698519	186708574	10055	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226725	X	72998387	73002856	4469	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226726	2	221532667	221533008	341	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226729	12	119959423	119959754	331	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226733	6	50093710	50099282	5572	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226734	10	110139213	110139426	213	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226738	22	50546414	50547652	1238	NA	0	0	0	0	0	1	0	0	3	4
ENSG00000226739	6	164346488	164348644	2156	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226741	22	27310650	27317456	6806	NA	0	2	0	0	0	0	0	0	0	0
ENSG00000226742	18	79964560	79970822	6262	NA	42	80	80	44	57	40	53	24	360	297
ENSG00000226744	7	97870166	97870289	123	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226745	1	40132763	40133448	685	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226746	17	17776685	17779529	2844	NA	0	0	0	1	0	0	0	0	2	0
ENSG00000226747	2	185719873	185740479	20606	NA	0	0	0	0	0	0	1	0	1	0
ENSG00000226750	1	242345557	242345718	161	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226751	21	14761709	14763090	1381	NA	0	2	0	15	16	9	14	10	9	0
ENSG00000226752	9	120824827	120854385	29558	NA	168	121	74	330	922	169	433	212	891	281
ENSG00000226753	X	75888699	75888888	189	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226754	1	53238609	53242783	4174	NA	0	2	0	4	1	2	0	3	4	8
ENSG00000226755	1	117549414	117549922	508	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226756	2	64644611	64646698	2087	NA	0	0	0	0	0	0	1	4	4	2
ENSG00000226757	4	121764584	121766814	2230	NA	0	0	0	0	0	0	0	7	0	0
ENSG00000226758	1	231925833	231945233	19400	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226759	1	57860531	57880905	20374	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226761	12	11061364	11062294	930	NA	0	0	0	0	1	0	0	0	0	1
ENSG00000226762	10	3240370	3257210	16840	NA	0	0	0	0	0	1	0	0	0	1
ENSG00000226763	19	43596616	43614497	17881	NA	0	0	0	1	8	4	38	5	8	7
ENSG00000226764	2	15997048	16062885	65837	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226765	3	168666558	168667423	865	NA	0	0	0	0	0	0	0	0	0	3
ENSG00000226766	1	243624665	243625056	391	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226767	7	65508772	65508944	172	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226769	20	46997595	46998488	893	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226770	7	127476882	127485804	8922	NA	0	0	0	0	0	0	0	0	2	0
ENSG00000226771	21	21223294	21226829	3535	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226772	22	29099040	29111683	12643	NA	0	0	0	0	0	0	0	0	2	0
ENSG00000226773	1	92203147	92203991	844	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226774	X	23351012	23351450	438	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226776	17	41004480	41004760	280	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226777	14	105917978	105932642	14664	NA	10	19	8	146	809	528	730	527	69	52
ENSG00000226779	3	175234860	175271096	36236	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226780	1	206117782	206126805	9023	NA	0	0	0	0	0	0	0	0	1	0
ENSG00000226781	X	33041394	33041721	327	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226782	3	177337627	177349166	11539	NA	0	0	0	0	0	1	2	0	0	0
ENSG00000226783	9	122685932	122688372	2440	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226784	X	77968873	77969638	765	NA	0	0	0	0	0	1	0	0	0	0
ENSG00000226785	2	34383787	34635340	251553	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226786	6	19534943	19839080	304137	NA	3	6	2	2	0	2	0	1	59	6
ENSG00000226789	2	127247257	127250082	2825	NA	0	0	0	0	2	0	0	0	0	0
ENSG00000226790	10	43789248	43790387	1139	NA	0	0	0	1	0	0	0	0	0	0
ENSG00000226791	2	98761937	98772920	10983	NA	1	4	0	7	26	10	17	13	19	12
ENSG00000226792	13	51082118	51172388	90270	NA	0	0	1	0	0	0	1	0	1	0
ENSG00000226794	10	69595486	69596436	950	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000226797	17	63381230	63414312	33082	NA	0	1	1	0	0	0	0	0	0	1
ENSG00000226798	9	80869757	80871295	1538	NA	0	0	0	0	0	0	0	0	0	0
